Parameters,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(20,)","(7,)"," 539,910 ", 724 ," (57,918)", 9 ," (51,555)", 10 , 49 , 9 ," (45,880)", 45 ," (21,884)"," 21,399 "," (22,197)"," 5,518 "," (3,859)", 362 , 362 , 50 
"(25,)","(3,)"," 566,328 ", 996 ," (61,131)", 9 ," (53,319)", 11 , 47 , 13 ," (42,115)", 44 ," (23,790)"," 29,715 "," (19,236)"," 4,533 "," (2,907)", 498 , 498 , 50 
"(20,)","(8,)"," 527,646 ", 694 ," (57,645)", 9 ," (53,193)", 10 , 49 , 12 ," (39,657)", 43 ," (23,222)"," 25,788 "," (23,541)"," 5,504 "," (3,872)", 347 , 347 , 50 
"(20,)","(4,)"," 550,746 ", 966 ," (62,832)", 9 ," (60,963)", 9 , 48 , 12 ," (44,105)", 43 ," (24,378)"," 25,221 "," (17,640)"," 4,572 "," (3,104)", 483 , 483 , 50 
"(20,)","(3,)"," 567,420 "," 1,154 "," (71,526)", 8 ," (69,111)", 8 , 46 , 11 ," (45,631)", 33 ," (26,326)"," 24,969 "," (15,897)"," 4,172 "," (2,663)", 577 , 577 , 50 
"(25,)","(2,)"," 553,014 "," 1,424 "," (74,340)", 7 ," (71,841)", 8 , 44 , 11 ," (46,145)", 36 ," (24,620)"," 24,969 "," (15,603)"," 3,773 "," (2,297)", 712 , 712 , 50 
"(20,)","(9,)"," 457,170 ", 652 ," (61,572)", 7 ," (55,104)", 8 , 50 , 11 ," (43,040)", 43 ," (22,929)"," 22,050 "," (24,465)"," 5,443 "," (4,096)", 326 , 326 , 50 
"(25,)","(5,)"," 475,860 ", 758 ," (64,302)", 7 ," (59,703)", 8 , 48 , 10 ," (43,403)", 43 ," (22,997)"," 29,652 "," (21,378)"," 5,195 "," (3,593)", 379 , 379 , 50 
"(40,)","(3,)"," 538,356 ", 767 ," (75,516)", 7 ," (72,198)", 7 , 48 , 10 ," (46,658)", 49 ," (22,433)"," 27,426 "," (20,223)"," 5,039 "," (3,303)", 383 , 384 , 50 
"(25,)","(4,)"," 534,660 ", 833 ," (78,498)", 7 ," (73,962)", 7 , 47 , 12 ," (42,612)", 41 ," (23,768)"," 30,240 "," (19,257)"," 5,073 "," (3,273)", 417 , 416 , 50 
"(20,)","(5,)"," 438,900 ", 846 ," (71,526)", 6 ," (64,113)", 7 , 48 , 11 ," (48,701)", 35 ," (26,058)"," 22,029 "," (20,475)"," 4,905 "," (3,506)", 423 , 423 , 50 
"(30,)","(4,)"," 546,882 ", 766 ," (89,292)", 6 ," (86,583)", 6 , 50 , 6 ," (44,842)", 37 ," (23,304)"," 28,707 "," (20,853)"," 5,040 "," (3,556)", 383 , 383 , 50 
"(40,)","(4,)"," 544,698 ", 615 ," (88,998)", 6 ," (83,748)", 7 , 48 , 9 ," (46,636)", 33 ," (24,897)"," 29,358 "," (23,100)"," 5,995 "," (3,858)", 307 , 308 , 50 
"(35,)","(3,)"," 573,090 ", 843 ," (94,227)", 6 ," (89,880)", 6 , 48 , 9 ," (49,558)", 44 ," (23,559)"," 27,699 "," (20,769)"," 4,737 "," (3,116)", 422 , 421 , 50 
"(20,)","(6,)"," 481,740 ", 784 ," (82,173)", 6 ," (68,691)", 7 , 48 , 9 ," (53,382)", 37 ," (24,214)"," 22,806 "," (20,937)"," 5,192 "," (3,666)", 392 , 392 , 50 
"(50,)","(4,)"," 434,616 ", 566 ," (74,466)", 6 ," (70,812)", 6 , 47 , 8 ," (48,106)", 33 ," (24,165)"," 27,426 "," (24,780)"," 6,101 "," (4,015)", 283 , 283 , 50 
"(20,)","(2,)"," 510,426 "," 1,644 "," (88,515)", 6 ," (87,801)", 6 , 46 , 9 ," (53,944)", 36 ," (25,476)"," 25,515 "," (17,241)"," 3,340 "," (2,259)", 822 , 822 , 50 
"(5,)","(3,)"," 540,792 "," 2,593 "," (93,786)", 6 ," (89,376)", 6 , 48 , 8 ," (54,994)", 35 ," (25,160)"," 21,462 "," (15,645)"," 2,671 "," (2,030)"," 1,297 "," 1,296 ", 50 
"(15,)","(10,)"," 480,942 ", 750 ," (83,559)", 6 ," (81,879)", 6 , 50 , 7 ," (54,486)", 40 ," (22,850)"," 23,226 "," (23,772)"," 5,127 "," (3,767)", 375 , 375 , 50 
"(35,)","(4,)"," 524,874 ", 691 ," (92,316)", 6 ," (88,137)", 6 , 48 , 9 ," (48,608)", 46 ," (22,111)"," 27,699 "," (20,769)"," 5,522 "," (3,586)", 346 , 345 , 50 
"(55,)","(3,)"," 422,982 ", 619 ," (75,873)", 6 ," (72,408)", 6 , 47 , 4 ," (56,831)", 28 ," (23,218)"," 31,038 "," (29,316)"," 5,652 "," (3,679)", 310 , 309 , 50 
"(55,)","(5,)"," 389,340 ", 462 ," (69,867)", 6 ," (66,402)", 6 , 49 , 7 ," (51,258)", 35 ," (22,979)"," 27,468 "," (29,316)"," 6,515 "," (4,595)", 231 , 231 , 50 
"(25,)","(6,)"," 442,806 ", 684 ," (80,325)", 6 ," (75,495)", 6 , 50 , 8 ," (46,216)", 37 ," (22,241)"," 27,846 "," (23,772)"," 5,302 "," (3,961)", 342 , 342 , 50 
"(10,)","(10,)"," 353,304 ", 916 ," (64,974)", 5 ," (59,934)", 6 , 48 , 11 ," (44,969)", 31 ," (26,952)"," 26,355 "," (20,181)"," 4,619 "," (3,482)", 458 , 458 , 50 
"(35,)","(5,)"," 534,996 ", 600 ," (103,761)", 5 ," (89,796)", 6 , 50 , 9 ," (51,107)", 44 ," (23,278)"," 27,048 "," (20,874)"," 5,825 "," (4,062)", 300 , 300 , 50 
"(80,)","(10,)"," 290,976 ", 279 ," (59,241)", 5 ," (52,416)", 6 , 46 , 8 ," (48,578)", 34 ," (24,960)"," 29,589 "," (28,434)"," 9,348 "," (6,112)", 139 , 140 , 50 
"(55,)","(4,)"," 368,760 ", 531 ," (76,713)", 5 ," (72,408)", 5 , 46 , 6 ," (51,674)", 31 ," (22,931)"," 28,623 "," (29,316)"," 6,259 "," (4,129)", 266 , 265 , 50 
"(30,)","(3,)"," 536,634 ", 912 ," (112,623)", 5 ," (107,940)", 5 , 48 , 11 ," (47,239)", 39 ," (25,269)"," 27,174 "," (19,572)"," 4,618 "," (3,102)", 456 , 456 , 50 
"(40,)","(2,)"," 552,762 "," 1,063 "," (117,306)", 5 ," (114,114)", 5 , 45 , 7 ," (58,695)", 48 ," (21,055)"," 27,594 "," (21,378)"," 4,277 "," (2,578)", 531 , 532 , 50 
"(85,)","(9,)"," 297,654 ", 297 ," (63,357)", 5 ," (58,422)", 5 , 50 , 12 ," (47,773)", 30 ," (28,735)"," 30,009 "," (27,804)"," 8,031 "," (6,166)", 148 , 149 , 50 
"(5,)","(7,)"," 397,614 "," 1,437 "," (86,394)", 5 ," (80,220)", 5 , 47 , 11 ," (47,842)", 29 ," (28,519)"," 26,145 "," (18,081)"," 3,579 "," (2,706)", 719 , 718 , 50 
"(10,)","(2,)"," 401,646 "," 2,417 "," (88,914)", 5 ," (84,840)", 5 , 45 , 10 ," (57,511)", 33 ," (28,680)"," 28,455 "," (19,257)"," 2,789 "," (2,013)"," 1,209 "," 1,208 ", 50 
"(80,)","(8,)"," 327,810 ", 301 ," (73,563)", 4 ," (59,241)", 6 , 48 , 12 ," (45,962)", 39 ," (27,119)"," 29,274 "," (28,539)"," 8,729 "," (5,835)", 150 , 151 , 50 
"(55,)","(6,)"," 316,512 ", 436 ," (72,408)", 4 ," (66,024)", 5 , 46 , 6 ," (56,542)", 26 ," (26,229)"," 30,660 "," (29,652)"," 7,055 "," (4,711)", 218 , 218 , 50 
"(85,)","(10,)"," 313,908 ", 283 ," (71,883)", 4 ," (68,754)", 5 , 49 , 10 ," (50,870)", 28 ," (29,112)"," 28,917 "," (31,017)"," 8,593 "," (6,285)", 141 , 142 , 50 
"(30,)","(5,)"," 428,652 ", 683 ," (98,385)", 4 ," (93,177)", 5 , 49 , 8 ," (51,051)", 35 ," (25,719)"," 27,825 "," (20,853)"," 5,359 "," (3,831)", 342 , 341 , 50 
"(45,)","(3,)"," 456,078 ", 686 ," (105,294)", 4 ," (102,249)", 4 , 46 , 8 ," (53,828)", 35 ," (23,255)"," 27,048 "," (20,349)"," 5,544 "," (3,553)", 343 , 343 , 50 
"(15,)","(9,)"," 406,896 ", 790 ," (95,529)", 4 ," (91,182)", 4 , 48 , 7 ," (56,673)", 33 ," (23,913)"," 23,709 "," (21,378)"," 5,064 "," (3,708)", 395 , 395 , 50 
"(15,)","(8,)"," 411,306 ", 822 ," (97,251)", 4 ," (91,581)", 4 , 48 , 8 ," (56,411)", 29 ," (26,203)"," 25,095 "," (20,454)"," 5,001 "," (3,625)", 411 , 411 , 50 
"(50,)","(3,)"," 381,024 ", 698 ," (90,258)", 4 ," (83,181)", 5 , 46 , 8 ," (52,734)", 31 ," (25,370)"," 27,594 "," (23,436)"," 5,355 "," (3,493)", 349 , 349 , 50 
"(85,)","(8,)"," 312,480 ", 319 ," (74,067)", 4 ," (68,964)", 5 , 50 , 10 ," (43,302)", 32 ," (24,486)"," 30,009 "," (27,804)"," 7,714 "," (5,892)", 159 , 160 , 50 
"(25,)","(7,)"," 414,204 ", 642 ," (98,259)", 4 ," (92,043)", 5 , 50 , 7 ," (57,558)", 38 ," (24,095)"," 27,846 "," (23,772)"," 5,531 "," (4,207)", 321 , 321 , 50 
"(80,)","(2,)"," 332,556 ", 773 ," (79,149)", 4 ," (73,815)", 5 , 46 , 11 ," (45,142)", 33 ," (26,210)"," 33,075 "," (25,494)"," 4,563 "," (3,058)", 386 , 387 , 50 
"(40,)","(6,)"," 390,222 ", 515 ," (94,269)", 4 ," (86,898)", 4 , 49 , 9 ," (51,749)", 36 ," (24,679)"," 28,434 "," (24,633)"," 6,239 "," (4,506)", 257 , 258 , 50 
"(40,)","(5,)"," 426,510 ", 557 ," (103,320)", 4 ," (98,070)", 4 , 49 , 9 ," (44,228)", 33 ," (24,163)"," 28,980 "," (23,940)"," 6,151 "," (4,288)", 278 , 279 , 50 
"(35,)","(2,)"," 522,144 "," 1,205 "," (126,567)", 4 ," (124,782)", 4 , 45 , 7 ," (55,002)", 44 ," (22,835)"," 27,699 "," (19,572)"," 3,928 "," (2,439)", 603 , 602 , 50 
"(65,)","(4,)"," 377,622 ", 477 ," (91,749)", 4 ," (89,250)", 4 , 49 , 8 ," (53,246)", 31 ," (25,578)"," 25,536 "," (30,177)"," 6,304 "," (4,425)", 239 , 238 , 50 
"(20,)","(10,)"," 392,574 ", 634 ," (99,813)", 4 ," (91,077)", 4 , 49 , 11 ," (48,199)", 38 ," (25,055)"," 20,580 "," (25,116)"," 5,552 "," (4,183)", 317 , 317 , 50 
"(95,)","(2,)"," 391,566 ", 706 ," (102,417)", 4 ," (90,888)", 4 , 44 , 6 ," (60,456)", 30 ," (24,841)"," 31,605 "," (24,570)"," 4,977 "," (2,981)", 353 , 353 , 50 
"(90,)","(2,)"," 303,786 ", 694 ," (80,388)", 4 ," (70,938)", 4 , 45 , 6 ," (59,258)", 28 ," (25,569)"," 37,065 "," (25,998)"," 4,882 "," (3,149)", 347 , 347 , 50 
"(80,)","(9,)"," 270,480 ", 291 ," (71,946)", 4 ," (58,233)", 5 , 46 , 11 ," (47,951)", 32 ," (27,867)"," 28,329 "," (26,481)"," 8,946 "," (6,018)", 145 , 146 , 50 
"(65,)","(3,)"," 358,428 ", 565 ," (95,487)", 4 ," (90,531)", 4 , 48 , 6 ," (54,184)", 31 ," (24,224)"," 26,208 "," (30,177)"," 5,719 "," (3,971)", 283 , 282 , 50 
"(30,)","(7,)"," 376,656 ", 562 ," (101,241)", 4 ," (92,841)", 4 , 50 , 9 ," (52,295)", 28 ," (27,900)"," 27,321 "," (23,142)"," 5,892 "," (4,525)", 281 , 281 , 50 
"(60,)","(2,)"," 337,848 ", 893 ," (91,182)", 4 ," (84,147)", 4 , 44 , 9 ," (50,111)", 26 ," (29,015)"," 28,434 "," (28,266)"," 4,383 "," (2,740)", 447 , 446 , 50 
"(75,)","(10,)"," 333,606 ", 279 ," (90,405)", 4 ," (86,625)", 4 , 48 , 10 ," (48,766)", 32 ," (26,753)"," 31,185 "," (25,347)"," 9,327 "," (6,262)", 139 , 140 , 50 
"(45,)","(4,)"," 445,788 ", 570 ," (121,359)", 4 ," (118,860)", 4 , 49 , 7 ," (61,950)", 38 ," (24,228)"," 25,935 "," (20,475)"," 5,999 "," (4,180)", 285 , 285 , 50 
"(30,)","(6,)"," 396,732 ", 620 ," (108,612)", 4 ," (98,637)", 4 , 50 , 9 ," (52,941)", 32 ," (27,009)"," 27,699 "," (19,845)"," 5,496 "," (4,160)", 310 , 310 , 50 
"(85,)","(6,)"," 292,656 ", 363 ," (80,577)", 4 ," (76,566)", 4 , 48 , 9 ," (53,522)", 28 ," (30,127)"," 31,857 "," (25,872)"," 7,283 "," (5,202)", 181 , 182 , 50 
"(85,)","(4,)"," 247,632 ", 463 ," (68,271)", 4 ," (59,976)", 4 , 46 , 10 ," (49,482)", 26 ," (30,910)"," 32,634 "," (27,216)"," 6,390 "," (4,374)", 231 , 232 , 50 
"(50,)","(8,)"," 375,942 ", 386 ," (104,013)", 4 ," (101,115)", 4 , 51 , 8 ," (51,463)", 26 ," (26,395)"," 27,468 "," (26,859)"," 7,348 "," (5,649)", 193 , 193 , 50 
"(50,)","(2,)"," 320,880 ", 950 ," (88,914)", 4 ," (83,937)", 4 , 43 , 8 ," (48,169)", 23 ," (26,739)"," 27,594 "," (21,840)"," 4,477 "," (2,783)", 475 , 475 , 50 
"(45,)","(2,)"," 473,046 ", 964 ," (131,817)", 4 ," (128,604)", 4 , 45 , 10 ," (49,444)", 43 ," (23,843)"," 27,048 "," (20,811)"," 4,565 "," (2,787)", 482 , 482 , 50 
"(55,)","(2,)"," 406,644 ", 915 ," (116,655)", 3 ," (109,284)", 4 , 44 , 4 ," (68,691)", 23 ," (25,364)"," 29,358 "," (28,518)"," 4,428 "," (2,705)", 458 , 457 , 50 
"(5,)","(4,)"," 439,152 "," 2,219 "," (126,483)", 3 ," (124,173)", 4 , 46 , 6 ," (65,404)", 35 ," (25,445)"," 23,268 "," (11,445)"," 2,942 "," (2,179)"," 1,110 "," 1,109 ", 50 
"(80,)","(5,)"," 247,422 ", 379 ," (73,773)", 3 ," (60,333)", 4 , 44 , 9 ," (52,143)", 30 ," (28,846)"," 32,004 "," (25,494)"," 7,727 "," (4,919)", 189 , 190 , 50 
"(85,)","(5,)"," 264,390 ", 405 ," (79,401)", 3 ," (76,650)", 3 , 47 , 12 ," (48,349)", 28 ," (30,705)"," 32,634 "," (27,216)"," 6,744 "," (4,724)", 202 , 203 , 50 
"(85,)","(7,)"," 281,358 ", 337 ," (84,861)", 3 ," (80,913)", 3 , 48 , 12 ," (50,435)", 31 ," (29,730)"," 31,059 "," (25,872)"," 7,576 "," (5,531)", 168 , 169 , 50 
"(25,)","(8,)"," 295,218 ", 604 ," (89,670)", 3 ," (89,082)", 3 , 48 , 9 ," (51,476)", 34 ," (26,211)"," 26,271 "," (20,055)"," 5,603 "," (4,298)", 302 , 302 , 50 
"(85,)","(3,)"," 242,340 ", 557 ," (74,739)", 3 ," (61,719)", 4 , 43 , 7 ," (58,203)", 26 ," (29,484)"," 33,894 "," (25,494)"," 5,943 "," (3,718)", 278 , 279 , 50 
"(55,)","(8,)"," 256,452 ", 374 ," (79,695)", 3 ," (73,227)", 4 , 48 , 4 ," (61,094)", 19 ," (25,874)"," 24,276 "," (29,862)"," 7,177 "," (5,345)", 187 , 187 , 50 
"(35,)","(7,)"," 334,320 ", 521 ," (104,223)", 3 ," (91,665)", 4 , 48 , 5 ," (68,838)", 30 ," (25,052)"," 26,712 "," (24,549)"," 6,455 "," (4,633)", 260 , 261 , 50 
"(15,)","(7,)"," 359,310 ", 884 ," (112,224)", 3 ," (110,292)", 3 , 48 , 8 ," (48,326)", 31 ," (24,306)"," 26,355 "," (19,383)"," 4,694 "," (3,545)", 442 , 442 , 50 
"(90,)","(3,)"," 358,680 ", 500 ," (112,581)", 3 ," (101,199)", 4 , 47 , 9 ," (51,305)", 30 ," (27,142)"," 34,167 "," (27,216)"," 5,959 "," (4,065)", 250 , 250 , 50 
"(90,)","(4,)"," 292,026 ", 416 ," (91,707)", 3 ," (84,525)", 3 , 44 , 10 ," (53,065)", 25 ," (31,927)"," 32,907 "," (27,216)"," 7,056 "," (4,488)", 208 , 208 , 50 
"(95,)","(5,)"," 327,222 ", 356 ," (104,097)", 3 ," (89,922)", 4 , 46 , 5 ," (59,186)", 23 ," (27,048)"," 32,172 "," (28,539)"," 7,447 "," (4,859)", 178 , 178 , 50 
"(95,)","(7,)"," 320,502 ", 294 ," (102,165)", 3 ," (92,568)", 3 , 47 , 5 ," (67,494)", 22 ," (29,371)"," 50,211 "," (26,481)"," 8,503 "," (5,736)", 147 , 147 , 50 
"(80,)","(4,)"," 282,408 ", 441 ," (90,489)", 3 ," (81,711)", 3 , 46 , 7 ," (49,548)", 29 ," (26,000)"," 32,928 "," (26,691)"," 6,909 "," (4,568)", 220 , 221 , 50 
"(5,)","(6,)"," 369,306 "," 1,701 "," (119,469)", 3 ," (117,096)", 3 , 47 , 8 ," (56,718)", 32 ," (27,332)"," 26,040 "," (20,076)"," 3,349 "," (2,545)", 851 , 850 , 50 
"(80,)","(7,)"," 231,000 ", 321 ," (75,075)", 3 ," (66,423)", 3 , 46 , 9 ," (52,325)", 29 ," (29,873)"," 29,442 "," (27,258)"," 8,346 "," (5,733)", 160 , 161 , 50 
"(40,)","(7,)"," 294,042 ", 481 ," (95,907)", 3 ," (90,888)", 3 , 48 , 6 ," (58,296)", 26 ," (25,019)"," 27,468 "," (24,171)"," 6,457 "," (4,782)", 240 , 241 , 50 
"(80,)","(3,)"," 251,538 ", 531 ," (82,656)", 3 ," (71,568)", 4 , 45 , 8 ," (49,547)", 28 ," (26,612)"," 32,781 "," (26,691)"," 5,946 "," (4,005)", 265 , 266 , 50 
"(90,)","(9,)"," 268,800 ", 276 ," (88,851)", 3 ," (80,976)", 3 , 47 , 6 ," (59,910)", 20 ," (29,796)"," 49,854 "," (31,017)"," 8,894 "," (6,376)", 138 , 138 , 50 
"(55,)","(7,)"," 255,612 ", 400 ," (87,171)", 3 ," (84,567)", 3 , 48 , 5 ," (55,175)", 21 ," (25,026)"," 23,919 "," (30,639)"," 6,910 "," (5,116)", 200 , 200 , 50 
"(35,)","(6,)"," 343,854 ", 557 ," (117,474)", 3 ," (101,556)", 3 , 47 , 7 ," (64,839)", 28 ," (27,939)"," 27,048 "," (24,171)"," 6,232 "," (4,418)", 278 , 279 , 50 
